device,rmean,length,model,error,std,srate,q75,q90
a650,0,1,0,0.36893636576542843,0.24172837219520854,0.9895287958115183,0.525501195050756,0.6981241851350061
38b8,0,1,0,0.353548126891378,0.24316356936212125,0.743455497382199,0.5051475698368793,0.698616561353573
14df,0,1,0,0.32332420122375255,0.2368422422060869,0.9869109947643979,0.4658082209061615,0.6481930297719971
d884,0,1,0,0.3416209111599901,0.2386217317618116,0.9973821989528796,0.4847592410393584,0.6640609323597902
all,0,1,0,0.3445559530008212,0.2358893253385998,1.0,0.49285112086007976,0.6715378053706629
a650,1,1,0,0.36893636576542843,0.24172837219520854,0.9895287958115183,0.525501195050756,0.6981241851350061
38b8,1,1,0,0.353548126891378,0.24316356936212125,0.743455497382199,0.5051475698368793,0.698616561353573
14df,1,1,0,0.32332420122375255,0.2368422422060869,0.9869109947643979,0.4658082209061615,0.6481930297719971
d884,1,1,0,0.3416209111599901,0.2386217317618116,0.9973821989528796,0.4847592410393584,0.6640609323597902
all,1,1,0,0.3445559530008212,0.2358893253385998,1.0,0.49285112086007976,0.6715378053706629
a650,2,1,0,0.352352043262194,0.24166482887271387,0.9869109947643979,0.5076085913598531,0.6981228444889607
38b8,2,1,0,0.3388317563508917,0.24244066681730705,0.7486910994764397,0.483924243122482,0.6921774129930879
14df,2,1,0,0.3158588128338797,0.2341967402862258,0.9947643979057592,0.4611681595194015,0.6431580285251903
d884,2,1,0,0.3360624281393538,0.24004166844566166,0.9973821989528796,0.4768256095427504,0.6693411435395433
all,2,1,0,0.33516351735579203,0.23782903900230007,1.0,0.4823743681875001,0.6715141676855658
a650,3,1,0,0.34186834512439235,0.24171755908923212,0.9921465968586387,0.4977158074700339,0.6739546673330763
38b8,3,1,0,0.33877124681583176,0.2413642909117919,0.7513089005235603,0.4816870056239353,0.6920010294650755
14df,3,1,0,0.3089653309038799,0.2292399353864596,1.0,0.4479682659477051,0.6284308126489929
d884,3,1,0,0.32293710904667094,0.23466807252621885,0.9973821989528796,0.45123614254358546,0.6403931706105269
all,3,1,0,0.3291649602722392,0.23755173290249085,1.0,0.4695868016969158,0.6591230892544361
a650,4,1,0,0.33025472851209675,0.23992926744588844,1.0,0.4815969604948723,0.6717504896097681
38b8,4,1,0,0.3339256825467245,0.2446909976054035,0.7486910994764397,0.4843155700552262,0.678354743983232
14df,4,1,0,0.30457254224256813,0.23416746171059383,1.0,0.4428713070751594,0.6260584286156288
d884,4,1,0,0.32671298342452587,0.23891258038246896,1.0,0.4582500558262894,0.6566577285662614
